Gene Symbol	Pearson	Spearman
OIT3	0.0759348	-0.109959985
HIST1H1T	-0.097207583	-0.109177302
SPINK5	-0.024438965	-0.108089584
SPARCL1	0.619900023	-0.106821107
TCAIM	-0.1742606	-0.106614316
NCKAP5	-0.054601575	-0.106456968
ZNF536	-0.09793177	-0.105173139
ATP1A4	-0.081865148	-0.104995716
THOC7	-0.08507932	-0.104876897
PDC	0.073452259	-0.102363354
NAIP	-0.020926455	-0.102083963
SKOR1	-0.135570097	-0.102036817
CACNA1F	-0.143351608	-0.101581433
GREB1L	0.035360535	-0.100280112
FBXW7	-0.096215611	-0.1
ATG9B	-0.094437429	-0.099706859
GRM5	-0.095918966	-0.098059465
PURG	-0.115862867	-0.09770531
TUBAL3	-0.077246026	-0.097600493
CCDC168	-0.12033233	-0.095249112
HSP90AA4P	-0.129985411	-0.093937048
SMTNL1	0.145833927	-0.093754193
TNNC2	-0.059472333	-0.093550276
LRRC53	-0.087432126	-0.093374084
MOS	-0.051612689	-0.093149896
ADCY10	0.013084436	-0.091635061
ZNF709	-0.169958492	-0.090186593
TSPYL4	-0.064660511	-0.089783282
MMP24	0.004029668	-0.089783282
NACAP1	0.020647432	-0.087592043
RBMXL2	-0.12589811	-0.087167111
TMEM26	0.154283064	-0.0866454
MRPS14	-0.118169584	-0.085586939
C12orf39	0.072660177	-0.085145927
TAF13	-0.094934976	-0.084004326
ERVW-1	0.937930462	-0.083333333
TLL1	-0.069881674	-0.083140902
EXOC3L4	-0.080908116	-0.082160257
PPP2R2B	-0.067187917	-0.080970506
MYL3	-0.018149514	-0.080808046
MAP3K10	-0.184553176	-0.07981525
SPHKAP	0.636879154	-0.079669164
SPOPL	-0.109166829	-0.077687444
KCTD13	-0.052661057	-0.075352817
MT-ND1	-0.090689735	-0.074202328
SYDE2	-0.081769277	-0.072739691
INTS12	-0.060149451	-0.071968125
ZNF35	-0.039116282	-0.071227364
ORMDL1	-0.100874904	-0.069988711
SNRPB2	-0.042046103	-0.069622618
ANO2	-0.040025937	-0.069015837
UNC13C	-0.021263527	-0.068073573
TMEM132B	0.559153024	-0.067765568
TBCCD1	-0.092980149	-0.067764599
TNKS2	-0.05810795	-0.06721144
ZNF175	0.160047508	-0.066666667
PIK3R3	-0.076063344	-0.066523371
ANKRD18B	-0.04772488	-0.066274778
ADAP2	-0.064700838	-0.065934066
MYH11	-0.035553873	-0.065172476
NINL	-0.022608103	-0.064727657
MYH4	-0.101683637	-0.064445105
APC2	-0.045188674	-0.063900563
CCDC180	-0.128051214	-0.062861023
CACNA1C	-0.026406107	-0.062531498
TUBA8	0.093303176	-0.061804697
MARK4	-0.17623061	-0.061660562
C1D	-0.067272052	-0.059631579
SALL3	0.853981689	-0.059408853
UBBP4	-0.09907258	-0.058295391
SP7	-0.025523899	-0.058193408
FKBP1B	-0.098352141	-0.057566013
ZNF568	0.018772074	-0.057340272
F2	0.085774948	-0.057079308
PGK2	-0.065489053	-0.056264584
MYH7B	0.123170334	-0.056241937
IER3IP1	-0.032785856	-0.055181168
EN1	-0.128211019	-0.054772256
TMCC2	-0.079300169	-0.054610776
ZNF658	-0.121669156	-0.054136861
TUBB1	-0.062998255	-0.053032604
RPL37	-0.037029766	-0.052980117
KSR2	-0.097543738	-0.050890816
CHRNE	-0.019982514	-0.050401716
MRPL37	-0.083954069	-0.048276413
CDH23	-0.073839849	-0.046568627
RPL37A	-0.009547504	-0.046098224
VWA3B	-0.01765104	-0.044963059
PKLR	-0.005639442	-0.044895506
ARHGAP36	0.714796852	-0.043099712
PPP1R3A	-0.026025842	-0.042415517
RBM34	-0.065507465	-0.04226799
MAPK10	-0.029660089	-0.0422348
GALNT8	-0.040194848	-0.041612186
TRIM23	-0.033652496	-0.041593626
CCDC154	-0.068557962	-0.041365421
RBM7	0.041995234	-0.041161209
MMP11	0.095297394	-0.040638607
ANKRD36	-0.044266152	-0.040488646
IL1R2	0.087909735	-0.040463951
NDUFA2	0.041315343	-0.039976124
RNF43	-0.00527953	-0.039767319
ATP5J2-PTCD1	-0.063861184	-0.039405281
LRRC7	0.0005781	-0.039263917
C5orf42	0.002000187	-0.038935771
ANGPTL3	0.433011469	-0.038461538
TRPC1	-0.043546205	-0.037937486
PRPF8	-0.0549635	-0.037912802
HIST1H2AB	-0.125158978	-0.036756671
EPHA6	-0.026947739	-0.036584619
ABCC8	0.02942907	-0.035356276
TRIM11	0.004546734	-0.034894968
HPCA	-0.006292606	-0.034809492
F8	0.002015239	-0.034298008
COLEC10	-0.009035091	-0.034210679
C9	-0.062811382	-0.033966633
TEX15	-0.032588139	-0.033877653
ZNF780B	0.082532027	-0.033333333
GPX3	-0.052647273	-0.033082552
C16orf96	-0.008835274	-0.032985638
MED24	-0.020673416	-0.032862712
ABCA13	0.028879109	-0.032562513
C11orf52	-0.04438755	-0.032462241
CCDC175	-0.022226315	-0.031890076
F5	0.006120689	-0.031633444
ATP5H	-0.050796662	-0.030495351
INTS5	-0.02709693	-0.030264242
SPTA1	0.220379448	-0.029730478
HK3	-0.014198277	-0.029685216
RPS6KA6	-0.040854247	-0.029654259
FAM46C	0.097223943	-0.028996865
ATP10A	-0.005225076	-0.028878003
MAP6	0.036113505	-0.02710165
MED16	0.018076744	-0.026992482
ANKRA2	-0.010045053	-0.02680782
SPCS1	0.032957955	-0.026744568
NUP205	-0.047277427	-0.026635052
PAPPA2	0.206149356	-0.026418257
KCNV2	-0.19294889	-0.026342805
ATP6V1C2	0.00061214	-0.026047728
POTEF	-0.045041347	-0.025859708
SLC12A5	-0.028430124	-0.025553163
L3MBTL2	-0.021062771	-0.025538794
CYP1A2	0.623734396	-0.025104822
URB2	-0.059544491	-0.02506527
CCDC147	-0.069417691	-0.024781066
SLFN14	-0.042988937	-0.024747737
ABCB5	-0.041339897	-0.024369789
PABPC1L	-0.031881291	-0.02430576
RHPN1	0.159075693	-0.023960536
SLC35A1	-0.022558043	-0.023400399
NSUN7	-0.044734964	-0.022732218
BLOC1S3	-0.020032126	-0.022417857
ZBBX	-0.023747356	-0.02221067
FAT3	0.019960001	-0.021220261
ZMYND19	0.029660629	-0.020849421
DAPL1	0.572396831	-0.02014652
DCUN1D2	0.003260136	-0.019983309
PIEZO2	-0.018333724	-0.019964918
EOMES	0.007550713	-0.019595928
TFR2	0.097295261	-0.017282528
ZNF605	0.04795372	-0.016666667
C4BPA	0.009015879	-0.01660316
EIF3L	-0.021729337	-0.0162893
CCNB3	-0.05997367	-0.015784978
NDUFS4	-0.026482361	-0.015456235
KCP	0.014570035	-0.01536754
RPL27	0.018993439	-0.015356361
POP5	-0.037200168	-0.015274345
RPL35	0.013955116	-0.014830438
TET1	-0.063032545	-0.014271892
DLG2	0.131753409	-0.013662032
TSHZ2	0.089120054	-0.013579436
RIMS1	0.112626094	-0.013256398
KDM5D	-0.019303879	-0.012946508
DCX	0.646122938	-0.012902192
NDUFA11	-0.039696725	-0.01273572
CSAD	-0.101978498	-0.012516469
PLXNA4	-0.005457419	-0.012241463
VAMP2	0.001065707	-0.01197406
CCDC37	-0.008965481	-0.011697787
OLAH	-0.025351876	-0.011680946
REV1	-0.030651915	-0.011581194
USP9Y	0.105776658	-0.011344759
STARD9	-0.029349577	-0.011038623
IGSF21	0.553235613	-0.010727861
RPL36A	-0.03387205	-0.010022882
HIST1H1E	-0.011850902	-0.008598122
DGKK	-0.024950333	-0.008530835
TTC21A	0.01372179	-0.008100147
TRRAP	-0.04849991	-0.007913765
HIST1H2BA	-0.003499933	-0.006975828
RPL13A	-0.003787369	-0.006857453
NME1	-0.006730478	-0.006849014
GADD45GIP1	0.015799751	-0.00671575
HIST1H3A	-0.017949402	-0.006540151
CDK3	0.015961368	-0.0063464
MYO7A	-0.027008235	-0.005278034
FGD5	0.214822715	-0.005221511
NUP107	-0.007577678	-0.005149493
HSPA6	0.027766963	-0.004671519
RNF7	0.005860498	-0.004332642
ANKRD36C	0.044712465	-0.004273504
ARMC4	0.021717419	-0.004231313
RAPGEF4	0.001930446	-0.003588196
RPL7A	-0.017751906	-0.003270691
SUPT4H1	0.032063049	-0.003211942
DNHD1	-0.058756595	-0.003158929
RPL9	0.003575962	-0.003096323
LIPC	0.074137683	-0.002751555
RPL18	0.01152206	-0.002641838
TIAM2	-0.036000706	-0.002137921
SYNGAP1	0.001759229	-0.001895076
DCLRE1A	-0.060216418	-0.001831502
PLAG1	-0.027233833	-0.001385007
BMP8B	0.328848007	-0.001031992
RPL6	-0.002651199	-3.64E-05
RPS24	-0.01356769	-5.87E-06
HNRNPH2	-0.002428212	0
SPECC1L	0	0
PALM2	0	0
AVP	0	0
UGT2A1	0	0
KIR3DP1	0	0
ELL3	0	0
IFI30	0	0
TCEAL1	0	0
ATP6V0C	0	0
HAO1	0	0
KRTAP4-4	0	0
CHRNA1	0.609434237	0
MED19	0.010750167	0.000305457
MED8	0.017759909	0.0008239
ACSBG1	0.112431747	0.001031992
PIWIL2	-0.113310546	0.001720206
TP53INP2	0.015010125	0.001831502
FREM1	0.082714299	0.0022174
TRIM16	0.038975541	0.002253277
PPFIA2	0.022480597	0.002412253
BBS1	0.107549716	0.00252722
ZMAT5	0.026882351	0.002896477
MRPS18C	0.000650436	0.003201691
NDUFB8	0.001619302	0.003342835
BRDT	0.500693984	0.003515712
MPL	0.409056548	0.003663563
TADA2A	0.033577224	0.003859588
COMP	0.053816012	0.004384527
GNB3	0.016089792	0.004875835
RPL3	0.015327314	0.005386136
TLL2	0.074758653	0.005621305
FZR1	0.003126509	0.005791439
DDX4	0.006415008	0.006010367
KIAA2026	-0.043429287	0.006090856
MRPL23	0.018802354	0.006106167
APOB	0.129875297	0.006284779
RPS11	0.023505671	0.006371244
RPS16	0.01994194	0.006960852
KNDC1	0.006811725	0.008347786
MRPL33	-0.036229582	0.008350953
DYNC1I1	0.030149714	0.008588894
MT-CYB	-0.021351169	0.009037343
RAB11B	0.018784066	0.009058907
RPL15	0.011109493	0.009120241
NAA20	0.012298785	0.009450691
CPNE5	0.018687535	0.00967242
SNRPD1	0.041817386	0.009730999
PANK1	0.01635378	0.009773219
PLG	-0.015788922	0.009875177
KCNA10	-0.132359545	0.009901475
SLFN13	0.015707216	0.010098183
MCFD2	-0.003587791	0.010108762
RPL18A	0.028477416	0.010209453
RPL32	-0.003663914	0.010704357
GRAMD1C	-0.041024907	0.01095375
HBE1	0.113049316	0.011103017
WDR87	0.019681245	0.011847615
DCDC1	0.041966157	0.011867261
GNG5	0.032830368	0.011896733
PAPD7	0.017246623	0.012987013
APOC3	0.068682405	0.013086786
RPL34	0.015221723	0.013572498
SIGLEC10	0.606367272	0.014017094
RPL10A	0.014465681	0.014024162
SNRNP35	0.020802838	0.014185273
ANKRD30A	-0.029606188	0.014252141
GTF2A2	0.02860258	0.014282478
PDE4B	0.245381784	0.014705882
MRPL4	-0.066570451	0.014829263
KIAA0391	0.013160912	0.015306107
EPX	0.606703131	0.015384615
RPL28	-0.003190805	0.015494775
TTN	0.128379341	0.015701607
ANKRD13B	0.064641361	0.015966387
EFCAB7	-0.010985676	0.01598063
PSG3	0.094645195	0.016241226
TENM1	0.075641952	0.016615342
GREM2	0.60239953	0.016666667
ALDOB	0.11490715	0.017034259
NOP10	0.035192643	0.017252529
LRRIQ1	0.142821046	0.017266407
SF3B5	0.000288596	0.017422222
MICU2	0.014321145	0.017803387
MYLK3	0.478223262	0.018119658
KIAA1683	-0.036861148	0.018208729
MRPL48	-0.011610377	0.018400045
ATP5E	0.037942043	0.018494044
POLR2K	-0.013586763	0.019120371
DNAH3	0.077815857	0.019423994
HDAC3	-0.01654103	0.020002491
CHST2	-0.00583911	0.020977343
PET100	0.012122982	0.021215071
ACTR3B	0.040771033	0.021840539
ROS1	0.038039186	0.021895024
TBC1D32	0.067288069	0.021978022
SWI5	0.011346186	0.022393822
SERPINC1	0.011883838	0.022944641
PDILT	-0.065249644	0.023632916
C7orf55	0.029738012	0.023668889
NUP188	-0.02752217	0.023675967
PRG4	0.078792751	0.023869
RPL10	0.005734378	0.024082747
INO80D	-0.019705734	0.024179655
MYH7	0.070407538	0.024227553
CSRP3	0.097262013	0.024397143
ANKRD31	-0.011333709	0.024559943
TRIM35	-0.054395208	0.024758815
SNRPD3	0.015858607	0.024854948
GFAP	0.296129637	0.024866631
NR3C2	0.180518555	0.02487405
SERPIND1	0.235357303	0.025245444
BBS9	-0.014331757	0.025672878
BPIFB2	0.160075388	0.026244081
ATP5J	0.069350772	0.026551863
SLC15A1	0.117032517	0.02687961
MED10	0.03938086	0.027119851
SMIM7	0.039151708	0.027257151
RPL35A	0.026543595	0.02762204
HBG1	0.193229375	0.02788594
MYO18B	0.129369547	0.027936352
RNF17	0.029992974	0.02824082
SERPINF2	0.105405004	0.02841478
TUBG2	-0.003188541	0.028675767
INTS7	0.037702064	0.028874575
B3GNT6	-0.084478972	0.029432199
H2AFV	0.039007159	0.030164005
ZBTB32	0.234354659	0.030188654
CTAGE1	0.02133439	0.03039441
SF3B14	0.000612271	0.030556215
MRPL39	0.043311967	0.030786042
PPP3R2	0.02921867	0.030942378
LENG8	0.036829366	0.031051119
ARHGEF18	0.026300695	0.031461253
NDUFS5	0.055467319	0.031626627
EGR3	0.450723993	0.031862745
MED14	0.031364656	0.032146206
DNAH11	0.050308642	0.032478632
MRPS30	0.043732198	0.032501522
IL22	0.734762942	0.032590002
MYO3B	0.019497175	0.032659189
PIK3R2	0.044115021	0.032720613
HIST1H4A	-0.022583063	0.03301675
UQCC2	0.037438281	0.03304131
SF3B3	0.025937537	0.033159749
ZNHIT1	0.029309224	0.033279796
HIST1H2BJ	0.028191447	0.033308032
IL31RA	-0.291893608	0.033333333
ABCA9	-0.030516936	0.033333333
IL3RA	0.457311375	0.033333333
MYH1	0.011674034	0.033445128
RPL29	0.043776351	0.033883775
RAB3C	0.103359536	0.033927443
PPP1R16B	0.717232649	0.034055728
DGKB	0.198956245	0.034229743
DNAH9	-0.004246318	0.034600619
GAL3ST2	0.158075677	0.03475512
POLR3H	0.098952385	0.035038379
RPS15A	0.047290511	0.035098006
SKIV2L	0.049280083	0.035142185
GTF2H5	0.039220158	0.035211677
RPS26	0.014873334	0.03553651
UBXN11	0.099834403	0.035779897
CA1	0.361247066	0.036037596
ANAPC5	0.015056896	0.036115554
CSNK2B	0.022553062	0.036630422
TEX9	0.203923575	0.036658306
MUC19	0.018003472	0.036706363
RPS23	0.033063652	0.036711496
NAIF1	0.033812835	0.036821585
VPS33A	0.027424303	0.036882574
RTBDN	0.310612357	0.037075181
AGO4	0.1258441	0.037117101
MRPL43	0.074646732	0.037572526
FBXL3	0.075678844	0.037815126
TRAPPC5	0.078976202	0.038202846
UXT	0.018110732	0.038228384
SNRPE	0.012037095	0.038318407
TYROBP	0.278688258	0.038415405
DPCR1	0.161563129	0.038744503
TRPM6	0.090876947	0.038789178
CCDC71	0.00266136	0.038809702
COX7B	0.040948817	0.038822257
EIF3C	0.040916593	0.03894773
MRPS23	0.012885258	0.03971382
ZSCAN12	0.135318336	0.039751553
SNRPG	0.035050372	0.03976928
RPUSD1	0.082749044	0.039832285
GTF2H3	0.038623391	0.039888399
TAF12	0.097930081	0.040042816
AGO1	0.043884283	0.040075868
DDX25	0.075052933	0.040214035
ZMYM6	0.088589222	0.040215557
TGM5	-0.039201729	0.041035447
TAF10	0.03906262	0.041181666
PZP	0.070046605	0.04130274
DUSP16	0.164789946	0.041321608
EVC2	0.053472565	0.041440217
MRPL20	0.030623656	0.041444105
CAPN13	0.107605721	0.041981285
FHAD1	0.094726042	0.042766168
APOH	0.105281687	0.04278105
THBS4	0.168566528	0.042931346
GTF2H2	0.023621002	0.043256873
NXT1	0.025119746	0.043527369
RPL13	0.061131219	0.043598324
PCYT1B	0.093740074	0.044273251
NSA2	0.062896345	0.044576382
NBEA	0.050976422	0.044642652
PHOX2B	0.31095875	0.044738905
GATC	0.033486216	0.045603793
RPS3	0.030771063	0.045822572
RPL27A	0.041342435	0.046105509
MRPL18	0.03524403	0.046372231
BTRC	0.007671126	0.046378342
PLEKHG5	0.011720314	0.046460384
EFCAB5	0.135233125	0.047330317
MTMR7	0.150039659	0.047408643
CHURC1	0.056530111	0.047826995
ZNF594	0.037306445	0.047842094
ZNF548	0.004346755	0.047916746
ITGA2B	0.296877918	0.048026618
MRPL16	0.04256908	0.048188289
RPL7L1	0.023656691	0.048196044
EXOSC1	0.080697451	0.048222599
PIWIL1	0.173349217	0.048279988
LSMD1	0.013750514	0.048574155
IKZF4	0.027401275	0.048710518
RPS9	0.054941063	0.048901741
NDUFS8	0.026036073	0.049006784
NDUFC1	0.003927211	0.049368392
ALPK2	0.159559987	0.049617167
IK	0.074097813	0.050024322
C17orf89	0.055792384	0.050425604
SNRNP200	0.026114614	0.050787593
MYO3A	-0.00449903	0.050932255
RPS10	0.02832887	0.050996741
MRPL51	0.062321092	0.051262429
ZNF836	-0.019072643	0.051547117
CNOT1	0.03827173	0.051695387
INTS8	0.050560012	0.051741447
SLC25A36	0.056498493	0.051754697
RABGEF1	0.043617068	0.051756957
LMTK3	0.114587202	0.052182199
GLTSCR2	0.056505002	0.052211911
ANAPC16	0.143281739	0.052250297
DNLZ	0.065802103	0.052495877
BHMT	0.038408031	0.052527405
SHANK1	0.133169937	0.052531577
HGFAC	0.055748872	0.053731689
MYCBP	0.076434023	0.053735604
MRPL14	0.043551083	0.0539758
SGSM2	0.074988707	0.054000731
FBP2	0.172463152	0.05400304
SMAD9	0.091933047	0.054114918
INO80E	0.050749345	0.05446331
PCDHGB3	0.075053072	0.054518899
HIST1H1C	0.074207452	0.054683142
YIPF4	0.099896746	0.055681927
ZDHHC8	0.136354788	0.055854222
MYO15A	-0.036562256	0.055882353
MAPK6	0.033761094	0.055948856
RPL5	0.058160647	0.056440921
TNNI3K	0.025962184	0.056486905
SS18	0.047941611	0.056711384
RPL36	0.086734643	0.056867675
RBX1	0.01590612	0.057013738
COMMD6	0.036154992	0.057216553
WASH2P	0.038964596	0.057249311
PDE2A	0.095645146	0.057713387
APOA1	0.342542912	0.057736007
MCM3AP	0.076513758	0.057881688
FBXL8	0.049159772	0.057946307
TLR7	0.228744151	0.057958977
CCDC138	0.049985982	0.058365368
EPHA10	0.044485191	0.058451404
HSP90AB3P	0.092075186	0.058467742
NDUFB7	0.019702232	0.058486101
PSMD3	0.078431916	0.058504196
ATP5L	0.083041199	0.058536625
ATP8B3	0.052952174	0.058594826
CCDC60	-0.021809205	0.058817589
SNAP91	0.095191557	0.059120829
CCNA1	0.153518765	0.059218559
ARF3	0.079853659	0.059630537
TCL1A	0.306112433	0.059924477
KRT72	0.073818363	0.059962996
LSM5	0.042985427	0.060054225
DDB1	0.05599371	0.060089252
MRP63	0.055277545	0.06039598
POLR2F	0.046307253	0.060534441
MYLPF	0.414414547	0.060554239
RBMXL3	0.042081274	0.060603935
NDUFB2	0.076191985	0.060802008
ANKK1	-0.075454864	0.060818366
RPS8	0.083655413	0.06105556
PLRG1	0.057368076	0.061145799
RPS2	0.077981114	0.061153084
BBS7	0.106877734	0.061629651
TAF9	0.037594498	0.061707678
PELI3	0.011106493	0.061910087
CHRDL2	0.326131019	0.062212085
GLE1	0.065606007	0.062286476
NDUFB3	0.063403883	0.062287886
NDUFA9	0.09392011	0.062463194
RPS18	0.071520305	0.062553902
SGIP1	0.095876338	0.062765332
RAB2B	0.076684203	0.063010737
RPL19	0.103510583	0.063068781
MTOR	0.088283957	0.063213775
SORCS1	0.291949736	0.063291877
HBD	0.125352474	0.063502169
MAEA	0.04061683	0.063572022
AKAP4	0.034675193	0.064076692
C21orf59	0.080259947	0.064423054
TAF6	0.102957113	0.064495684
C3orf20	0.046607967	0.06469158
GOLGA7	0.107715193	0.064924319
PPP1R15A	0.111150844	0.064989518
NOA1	0.087895327	0.065343319
EFHB	0.087741174	0.065350544
MRPL13	0.072696824	0.065991441
POLR2J	0.07108235	0.066213044
KLHL12	0.079228931	0.066298087
EBI3	0.846551718	0.066666667
C19orf44	0.010893115	0.066666667
SFI1	0.145467431	0.066783872
TMEM209	0.097934544	0.067013209
TREM1	0.209193656	0.067155074
C8orf59	0.078910638	0.067275669
CYP4F22	0.23099039	0.067616575
CAMK2B	0.069056854	0.067634072
DNAH5	0.070459616	0.067758367
MLH3	0.122753846	0.067798093
PAX1	0.034113135	0.067895867
BTBD2	0.11384898	0.067992432
MRPS33	0.08455422	0.06810243
PPAN	0.075956878	0.068274123
RYR1	0.118068794	0.06880208
RBMY1B	0.143188751	0.068820869
C11orf96	0.027160593	0.069031108
THAP1	0.057277428	0.069059979
NDUFA7	0.046336256	0.069401032
HAUS4	0.087008668	0.069415699
ILF2	-0.01188019	0.069582668
ERBB4	0.107840511	0.069840572
IGHM	0.494188767	0.069872632
PIP	0.542620004	0.070255925
DCAF8L2	0.19606101	0.070458253
C7	0.16901712	0.071301116
MED12	0.209418989	0.071636779
CCDC66	0.09846844	0.071740662
SERPINA6	0.546991031	0.07195386
SYNPO2L	0.330683436	0.072389321
STMN2	0.118134356	0.072438816
TOMM7	0.077712729	0.072615684
ORC5	0.11246976	0.072659487
ADAM19	0.000731985	0.072948898
RPL24	0.099506294	0.073083892
FRMPD3	0.077274473	0.07324543
AS3MT	0.063538578	0.073389876
INTS1	0.108737067	0.073405603
COX7A2L	0.066899188	0.073949856
PSMB2	0.10769775	0.074039155
SLC26A3	0.536004439	0.074039479
SLC25A31	0.063435755	0.074332519
SDHAF2	0.09121278	0.074580012
ST3GAL2	0.078181447	0.074586576
EML5	0.032818694	0.075162602
ZNF208	0.054565891	0.075485072
MRPL9	0.064162932	0.075540552
FPR3	0.419738069	0.07572716
NUP93	0.064680663	0.076197604
HPCAL4	0.045099394	0.076287038
MYT1L	0.201826734	0.076411618
NEB	0.168855892	0.076623671
F10	0.250926192	0.077035067
UTP3	0.075286013	0.077108219
MRPL40	0.088209021	0.077217257
MRPS11	0.084547058	0.078102962
SF3A3	0.054077045	0.078569431
ZNF282	-0.013196335	0.078957287
MED31	0.094360174	0.079258658
FSIP2	-0.030898715	0.07930983
RPLP0	0.040857123	0.07948169
SLC1A6	0.102491612	0.079505541
FER1L5	0.037093728	0.079647205
TFIP11	0.061123191	0.079856041
PTRH1	0.048652296	0.080238063
GOLGA8H	0.123246334	0.080345988
ABCA10	0.077492175	0.080467561
SYCP1	0.754036352	0.080587065
ACACB	0.046156046	0.08066916
ARSI	0.045316211	0.081179467
EIF3E	0.124384145	0.081547316
POLR2E	0.07085645	0.08155225
PRG2	0.32156072	0.081671515
EIF3H	0.121933329	0.081768448
SNAPC2	0.069412601	0.081774138
CCDC150	0.091828246	0.081831007
ENOX2	0.088120227	0.082294645
POLR2D	0.044656779	0.082338786
DOPEY1	0.195837861	0.082531619
ANAPC2	0.060397017	0.082554748
HPX	0.106239982	0.082594937
KIAA1614	0.06641952	0.082783281
HSPA12B	-0.085996847	0.083333333
AFF3	0.111132123	0.083383697
FAM135A	0.086776045	0.083404776
RAC1	0.054046205	0.083560771
ACTA1	0.349808034	0.083591331
NDUFA12	0.051956154	0.083682735
LAMTOR5	0.070430474	0.083702903
PCGF1	0.108428711	0.083770008
ANKS1B	0.090778601	0.083912773
PTCD3	0.054538299	0.084097505
CAMKV	0.457294937	0.084690135
FRMPD1	0.119463885	0.084703827
DCTN6	0.09049122	0.084717193
BAP1	0.228696612	0.084942555
TPGS1	0.115155453	0.085087255
PLCZ1	0.114307553	0.085197604
PSMA4	0.088472364	0.085198467
CCDC18	0.066930272	0.085619804
FBXO33	0.039397668	0.085655315
AKR1D1	0.126767949	0.085712873
KIAA1429	0.100717012	0.085766925
LSM10	0.156371208	0.086000681
AP3M1	0.090249049	0.086121536
MRPL24	0.108809093	0.086444187
KIF27	-0.09878893	0.086495726
NUP54	0.124450458	0.086795273
NUP133	0.052082913	0.086864597
ZNF587	0.132097957	0.086907369
NDUFB11	0.080366269	0.087129808
BFAR	0.098557984	0.087154243
MCRS1	0.080925362	0.087382061
ALPK1	-0.013143968	0.087478559
RPL8	0.073171142	0.087514834
PDRG1	0.101235937	0.087819388
EXOSC9	0.035795331	0.087950049
MRPS9	0.091573425	0.087990939
IMP3	0.056860134	0.088019373
PCBP3	0.123389704	0.088073166
POTEI	0.064672105	0.088237398
